model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-n-wgn,N-WGN,,2025,2025年式,root,root,5,104.0,126.4,112.9,110.8,107.4,115.8,126.4,"2025年式 / L スタイルプラス ビター / 2,000km / 青森県",2025年式,L スタイルプラス ビター,"2,000km",青森県,manen
honda-n-wgn,N-WGN,,2024,2024年式,root,root,26,71.5,127.0,110.0,115.7,101.2,118.8,127.0,"2024年式 / L 4WD / 2,000km / 山形県",2024年式,L 4WD,"2,000km",山形県,manen
honda-n-wgn,N-WGN,,2023,2023年式,root,root,64,5.0,125.5,96.5,99.7,87.5,110.5,125.5,"2023年式 / L スタイルプラス ビター / 1,000km / 広島県",2023年式,L スタイルプラス ビター,"1,000km",広島県,manen
honda-n-wgn,N-WGN,,2022,2022年式,root,root,76,51.8,115.5,86.8,86.3,79.0,98.1,115.5,"2022年式 / L ホンダ センシング 4WD / 24,000km / 神奈川県",2022年式,L ホンダ センシング 4WD,"24,000km",神奈川県,manen
honda-n-wgn,N-WGN,,2021,2021年式,root,root,72,8.9,121.3,80.4,81.8,69.6,92.9,121.3,"2021年式 / L ホンダ センシング 4WD / 5,000km / 滋賀県",2021年式,L ホンダ センシング 4WD,"5,000km",滋賀県,manen
honda-n-wgn,N-WGN,,2020,2020年式,root,root,91,13.9,107.4,67.3,67.6,54.9,82.4,107.4,"2020年式 / L ターボ ホンダ センシング 4WD / 28,000km / 福岡県",2020年式,L ターボ ホンダ センシング 4WD,"28,000km",福岡県,manen
honda-n-wgn,N-WGN,,2019,2019年式,root,root,84,23.5,90.0,55.6,58.2,38.7,70.0,90.0,"2019年式 / L ホンダ センシング 4WD / 25,000km / 宮城県",2019年式,L ホンダ センシング 4WD,"25,000km",宮城県,manen
honda-n-wgn,N-WGN,,2018,2018年式,root,root,97,5.0,90.5,39.9,37.1,27.0,52.0,90.5,2018年式 / G Lパッケージ 4WD / 2万km / 岐阜県,2018年式,G Lパッケージ 4WD,2万km,岐阜県,manen
honda-n-wgn,N-WGN,,2017,2017年式,root,root,102,8.0,90.5,37.2,38.1,24.0,47.0,90.5,"2017年式 / G ターボパッケージ / 38,000km / 山口県",2017年式,G ターボパッケージ,"38,000km",山口県,manen
honda-n-wgn,N-WGN,,2016,2016年式,root,root,100,5.0,68.5,26.7,26.8,17.8,36.0,68.5,"2016年式 / C 4WD / 42,000km / 千葉県",2016年式,C 4WD,"42,000km",千葉県,manen
honda-n-wgn,N-WGN,,2015,2015年式,root,root,120,5.0,74.9,26.4,25.8,17.1,35.0,74.9,"2015年式 / G ターボパッケージ / 18,000km / 福岡県",2015年式,G ターボパッケージ,"18,000km",福岡県,manen
honda-n-wgn,N-WGN,,2014,2014年式,root,root,120,5.0,53.7,20.6,20.9,5.3,30.0,53.7,"2014年式 / G Aパッケージ 4WD / 34,000km / 富山県",2014年式,G Aパッケージ 4WD,"34,000km",富山県,manen
honda-n-wgn,N-WGN,,2013,2013年式,root,root,38,5.0,44.0,25.7,24.8,18.0,31.5,44.0,"2013年式 / G Aパッケージ / 15,000km / 山形県",2013年式,G Aパッケージ,"15,000km",山形県,manen
honda-n-wgn,N-WGN,,2012,2012年式,root,root,1,37.0,37.0,37.0,37.0,37.0,37.0,37.0,"2012年式 / G ターボパッケージ / 78,000km / 山梨県",2012年式,G ターボパッケージ,"78,000km",山梨県,manen
honda-n-wgn,N-WGN,,1992,1992年式,root,root,4,68.5,97.6,83.3,83.5,81.3,85.8,97.6,"1992年式 / L ホンダ センシング / 21,000km / 鹿児島県",1992年式,L ホンダ センシング,"21,000km",鹿児島県,manen
